State,Measures,Year,Number of Records,Values
Alabama,Licensed drivers,2020,1,4042900
Alaska,Licensed drivers,2020,1,518872
Arizona,Licensed drivers,2020,1,5681495
Arkansas,Licensed drivers,2020,1,2153929
California,Licensed drivers,2020,1,27005302
Colorado,Licensed drivers,2020,1,4299447
Connecticut,Licensed drivers,2020,1,2508670
Delaware,Licensed drivers,2020,1,829226
District of Columbia,Licensed drivers,2020,1,520865
Florida,Licensed drivers,2020,1,15715373
Georgia,Licensed drivers,2020,1,7521750
Hawaii,Licensed drivers,2020,1,921547
Idaho,Licensed drivers,2020,1,1285331
Illinois,Licensed drivers,2020,1,8225298
Indiana,Licensed drivers,2020,1,4532708
Iowa,Licensed drivers,2020,1,2268916
Kansas,Licensed drivers,2020,1,2004302
Kentucky,Licensed drivers,2020,1,2905632
Louisiana,Licensed drivers,2020,1,3416648
Maine,Licensed drivers,2020,1,1047893
Maryland,Licensed drivers,2020,1,4454266
Massachusetts,Licensed drivers,2020,1,4940373
Michigan,Licensed drivers,2020,1,7026650
Minnesota,Licensed drivers,2020,1,4090264
Mississippi,Licensed drivers,2020,1,2017111
Missouri,Licensed drivers,2020,1,4259672
Montana,Licensed drivers,2020,1,826754
Nebraska,Licensed drivers,2020,1,1438821
Nevada,Licensed drivers,2020,1,2056394
New Hampshire,Licensed drivers,2020,1,1060381
New Jersey,Licensed drivers,2020,1,6230912
New Mexico,Licensed drivers,2020,1,1473219
New York,Licensed drivers,2020,1,12194360
North Carolina,Licensed drivers,2020,1,7637400
North Dakota,Licensed drivers,2020,1,539006
Ohio,Licensed drivers,2020,1,8100273
Oklahoma,Licensed drivers,2020,1,2550560
Oregon,Licensed drivers,2020,1,2944828
Pennsylvania,Licensed drivers,2020,1,8930677
Rhode Island,Licensed drivers,2020,1,731715
South Carolina,Licensed drivers,2020,1,3905911
South Dakota,Licensed drivers,2020,1,658091
Tennessee,Licensed drivers,2020,1,4877268
Texas,Licensed drivers,2020,1,17667039
Utah,Licensed drivers,2020,1,2149766
Vermont,Licensed drivers,2020,1,460871
Virginia,Licensed drivers,2020,1,5909716
Washington,Licensed drivers,2020,1,5812500
West Virginia,Licensed drivers,2020,1,1101775.405
Wisconsin,Licensed drivers,2020,1,4315892
Wyoming,Licensed drivers,2020,1,427233
United States,Licensed drivers,2020,1,228195802.4
Alabama,Licensed drivers,2019,1,4026151
Alaska,Licensed drivers,2019,1,529281
Arizona,Licensed drivers,2019,1,5369210
Arkansas,Licensed drivers,2019,1,2153929
California,Licensed drivers,2019,1,27213650
Colorado,Licensed drivers,2019,1,4235384
Connecticut,Licensed drivers,2019,1,2608061
Delaware,Licensed drivers,2019,1,812529
District of Columbia,Licensed drivers,2019,1,535579
Florida,Licensed drivers,2019,1,15560628
Georgia,Licensed drivers,2019,1,7261266
Hawaii,Licensed drivers,2019,1,943173
Idaho,Licensed drivers,2019,1,1252535
Illinois,Licensed drivers,2019,1,8546932
Indiana,Licensed drivers,2019,1,4589405
Iowa,Licensed drivers,2019,1,2274431
Kansas,Licensed drivers,2019,1,2154260
Kentucky,Licensed drivers,2019,1,3030329
Louisiana,Licensed drivers,2019,1,3435168
Maine,Licensed drivers,2019,1,1046129
Maryland,Licensed drivers,2019,1,4463862
Massachusetts,Licensed drivers,2019,1,4950056
Michigan,Licensed drivers,2019,1,7141494
Minnesota,Licensed drivers,2019,1,3391057
Mississippi,Licensed drivers,2019,1,2058036
Missouri,Licensed drivers,2019,1,4274389
Montana,Licensed drivers,2019,1,811851
Nebraska,Licensed drivers,2019,1,1430818
Nevada,Licensed drivers,2019,1,2054421
New Hampshire,Licensed drivers,2019,1,1195211
New Jersey,Licensed drivers,2019,1,6377413
New Mexico,Licensed drivers,2019,1,1449711
New York,Licensed drivers,2019,1,12194360
North Carolina,Licensed drivers,2019,1,7620001
North Dakota,Licensed drivers,2019,1,556064
Ohio,Licensed drivers,2019,1,8032792
Oklahoma,Licensed drivers,2019,1,2522670
Oregon,Licensed drivers,2019,1,2930701
Pennsylvania,Licensed drivers,2019,1,8987676
Rhode Island,Licensed drivers,2019,1,761046
South Carolina,Licensed drivers,2019,1,3877968
South Dakota,Licensed drivers,2019,1,638428
Tennessee,Licensed drivers,2019,1,5422429
Texas,Licensed drivers,2019,1,17822760
Utah,Licensed drivers,2019,1,2121099
Vermont,Licensed drivers,2019,1,564894
Virginia,Licensed drivers,2019,1,5888196
Washington,Licensed drivers,2019,1,5711136
West Virginia,Licensed drivers,2019,1,1130389.173
Wisconsin,Licensed drivers,2019,1,4296646
Wyoming,Licensed drivers,2019,1,424115
United States,Licensed drivers,2019,1,228679719.2
Alabama,Licensed drivers,2018,1,3999057
Alaska,Licensed drivers,2018,1,536033
Arizona,Licensed drivers,2018,1,5284970
Arkansas,Licensed drivers,2018,1,2145334
California,Licensed drivers,2018,1,27039400
Colorado,Licensed drivers,2018,1,4244713
Connecticut,Licensed drivers,2018,1,2605612
Delaware,Licensed drivers,2018,1,786504
District of Columbia,Licensed drivers,2018,1,527731
Florida,Licensed drivers,2018,1,15368695
Georgia,Licensed drivers,2018,1,7168733
Hawaii,Licensed drivers,2018,1,948417
Idaho,Licensed drivers,2018,1,1252535
Illinois,Licensed drivers,2018,1,8714788
Indiana,Licensed drivers,2018,1,4589405
Iowa,Licensed drivers,2018,1,2260271
Kansas,Licensed drivers,2018,1,2149430
Kentucky,Licensed drivers,2018,1,3032530
Louisiana,Licensed drivers,2018,1,3425435
Maine,Licensed drivers,2018,1,1040582
Maryland,Licensed drivers,2018,1,4407973
Massachusetts,Licensed drivers,2018,1,4935176
Michigan,Licensed drivers,2018,1,7153645
Minnesota,Licensed drivers,2018,1,3391057
Mississippi,Licensed drivers,2018,1,2058036
Missouri,Licensed drivers,2018,1,4272960
Montana,Licensed drivers,2018,1,806204
Nebraska,Licensed drivers,2018,1,1420317
Nevada,Licensed drivers,2018,1,1983453
New Hampshire,Licensed drivers,2018,1,1161665
New Jersey,Licensed drivers,2018,1,6342876
New Mexico,Licensed drivers,2018,1,1458433
New York,Licensed drivers,2018,1,12194360
North Carolina,Licensed drivers,2018,1,7509231
North Dakota,Licensed drivers,2018,1,561333
Ohio,Licensed drivers,2018,1,8032665
Oklahoma,Licensed drivers,2018,1,2504253
Oregon,Licensed drivers,2018,1,2930702
Pennsylvania,Licensed drivers,2018,1,8991370
Rhode Island,Licensed drivers,2018,1,756966
South Carolina,Licensed drivers,2018,1,3846069
South Dakota,Licensed drivers,2018,1,638428
Tennessee,Licensed drivers,2018,1,5422429
Texas,Licensed drivers,2018,1,17370383
Utah,Licensed drivers,2018,1,2030644
Vermont,Licensed drivers,2018,1,564892
Virginia,Licensed drivers,2018,1,5929031
Washington,Licensed drivers,2018,1,5909967
West Virginia,Licensed drivers,2018,1,1136775
Wisconsin,Licensed drivers,2018,1,4288171
Wyoming,Licensed drivers,2018,1,419256
United States,Licensed drivers,2018,1,227548895
Alabama,Licensed drivers,2017,1,3954378
Alaska,Licensed drivers,2017,1,534585
Arizona,Licensed drivers,2017,1,5164966
Arkansas,Licensed drivers,2017,1,2417464
California,Licensed drivers,2017,1,26777132
Colorado,Licensed drivers,2017,1,4156138
Connecticut,Licensed drivers,2017,1,2586994
Delaware,Licensed drivers,2017,1,770512
District of Columbia,Licensed drivers,2017,1,521056
Florida,Licensed drivers,2017,1,15076358
Georgia,Licensed drivers,2017,1,7060344
Hawaii,Licensed drivers,2017,1,951008
Idaho,Licensed drivers,2017,1,1190367
Illinois,Licensed drivers,2017,1,8529404
Indiana,Licensed drivers,2017,1,4553584
Iowa,Licensed drivers,2017,1,2246829
Kansas,Licensed drivers,2017,1,2029869
Kentucky,Licensed drivers,2017,1,3019008
Louisiana,Licensed drivers,2017,1,3425656
Maine,Licensed drivers,2017,1,1032703
Maryland,Licensed drivers,2017,1,4329503
Massachusetts,Licensed drivers,2017,1,4935176
Michigan,Licensed drivers,2017,1,7095778
Minnesota,Licensed drivers,2017,1,3394815
Mississippi,Licensed drivers,2017,1,2053924
Missouri,Licensed drivers,2017,1,4274784
Montana,Licensed drivers,2017,1,807259
Nebraska,Licensed drivers,2017,1,1404479
Nevada,Licensed drivers,2017,1,1918305
New Hampshire,Licensed drivers,2017,1,1103624
New Jersey,Licensed drivers,2017,1,6301363
New Mexico,Licensed drivers,2017,1,1473262
New York,Licensed drivers,2017,1,12185313
North Carolina,Licensed drivers,2017,1,7389467
North Dakota,Licensed drivers,2017,1,561667
Ohio,Licensed drivers,2017,1,8011705
Oklahoma,Licensed drivers,2017,1,2505989
Oregon,Licensed drivers,2017,1,2910592
Pennsylvania,Licensed drivers,2017,1,8964855
Rhode Island,Licensed drivers,2017,1,753202
South Carolina,Licensed drivers,2017,1,3810962
South Dakota,Licensed drivers,2017,1,628506
Tennessee,Licensed drivers,2017,1,5377653
Texas,Licensed drivers,2017,1,17099340
Utah,Licensed drivers,2017,1,1995377
Vermont,Licensed drivers,2017,1,560247
Virginia,Licensed drivers,2017,1,5926430
Washington,Licensed drivers,2017,1,5768281
West Virginia,Licensed drivers,2017,1,1148786
Wisconsin,Licensed drivers,2017,1,4234793
Wyoming,Licensed drivers,2017,1,422465
United States,Licensed drivers,2017,1,225346257
Alabama,Licensed drivers,2016,1,3943082
Alaska,Licensed drivers,2016,1,534585
Arizona,Licensed drivers,2016,1,5082305
Arkansas,Licensed drivers,2016,1,2391103
California,Licensed drivers,2016,1,26199436
Colorado,Licensed drivers,2016,1,4066580
Connecticut,Licensed drivers,2016,1,2611007
Delaware,Licensed drivers,2016,1,756328
District of Columbia,Licensed drivers,2016,1,489831
Florida,Licensed drivers,2016,1,14675160
Georgia,Licensed drivers,2016,1,6975900
Hawaii,Licensed drivers,2016,1,931703
Idaho,Licensed drivers,2016,1,1160922
Illinois,Licensed drivers,2016,1,8514644
Indiana,Licensed drivers,2016,1,4553259
Iowa,Licensed drivers,2016,1,2245640
Kansas,Licensed drivers,2016,1,2030025
Kentucky,Licensed drivers,2016,1,3031447
Louisiana,Licensed drivers,2016,1,3395095
Maine,Licensed drivers,2016,1,1021332
Maryland,Licensed drivers,2016,1,4264875
Massachusetts,Licensed drivers,2016,1,5040662
Michigan,Licensed drivers,2016,1,7074674
Minnesota,Licensed drivers,2016,1,3377910
Mississippi,Licensed drivers,2016,1,2018862
Missouri,Licensed drivers,2016,1,4249579
Montana,Licensed drivers,2016,1,797145
Nebraska,Licensed drivers,2016,1,1404479
Nevada,Licensed drivers,2016,1,1872376
New Hampshire,Licensed drivers,2016,1,1096234
New Jersey,Licensed drivers,2016,1,6238436
New Mexico,Licensed drivers,2016,1,1521785
New York,Licensed drivers,2016,1,11947568
North Carolina,Licensed drivers,2016,1,7267042
North Dakota,Licensed drivers,2016,1,555935
Ohio,Licensed drivers,2016,1,7974951
Oklahoma,Licensed drivers,2016,1,2498178
Oregon,Licensed drivers,2016,1,2855746
Pennsylvania,Licensed drivers,2016,1,8996815
Rhode Island,Licensed drivers,2016,1,753143
South Carolina,Licensed drivers,2016,1,3746681
South Dakota,Licensed drivers,2016,1,622663
Tennessee,Licensed drivers,2016,1,5197904
Texas,Licensed drivers,2016,1,15879876
Utah,Licensed drivers,2016,1,1960366
Vermont,Licensed drivers,2016,1,553670
Virginia,Licensed drivers,2016,1,5912048
Washington,Licensed drivers,2016,1,5635715
West Virginia,Licensed drivers,2016,1,1159348
Wisconsin,Licensed drivers,2016,1,4206770
Wyoming,Licensed drivers,2016,1,421098
United States,Licensed drivers,2016,1,221711918
Alabama,Licensed drivers,2015,1,3907038
Alaska,Licensed drivers,2015,1,533227
Arizona,Licensed drivers,2015,1,4978762
Arkansas,Licensed drivers,2015,1,2119578
California,Licensed drivers,2015,1,25532920
Colorado,Licensed drivers,2015,1,3974521
Connecticut,Licensed drivers,2015,1,2566673
Delaware,Licensed drivers,2015,1,742524
District of Columbia,Licensed drivers,2015,1,455602
Florida,Licensed drivers,2015,1,14262715
Georgia,Licensed drivers,2015,1,6906191
Hawaii,Licensed drivers,2015,1,909797
Idaho,Licensed drivers,2015,1,1135009
Illinois,Licensed drivers,2015,1,8462193
Indiana,Licensed drivers,2015,1,4467848
Iowa,Licensed drivers,2015,1,2224130
Kansas,Licensed drivers,2015,1,2028657
Kentucky,Licensed drivers,2015,1,3021266
Louisiana,Licensed drivers,2015,1,3357091
Maine,Licensed drivers,2015,1,1019879
Maryland,Licensed drivers,2015,1,4185752
Massachusetts,Licensed drivers,2015,1,5040662
Michigan,Licensed drivers,2015,1,7104484
Minnesota,Licensed drivers,2015,1,3351430
Mississippi,Licensed drivers,2015,1,1988396
Missouri,Licensed drivers,2015,1,4213302
Montana,Licensed drivers,2015,1,781427
Nebraska,Licensed drivers,2015,1,1394301
Nevada,Licensed drivers,2015,1,1835511
New Hampshire,Licensed drivers,2015,1,1074766
New Jersey,Licensed drivers,2015,1,6179318
New Mexico,Licensed drivers,2015,1,1467782
New York,Licensed drivers,2015,1,11689839
North Carolina,Licensed drivers,2015,1,7160621
North Dakota,Licensed drivers,2015,1,545027
Ohio,Licensed drivers,2015,1,7923439
Oklahoma,Licensed drivers,2015,1,2621733
Oregon,Licensed drivers,2015,1,2808548
Pennsylvania,Licensed drivers,2015,1,8942967
Rhode Island,Licensed drivers,2015,1,745470
South Carolina,Licensed drivers,2015,1,3683824
South Dakota,Licensed drivers,2015,1,655707
Tennessee,Licensed drivers,2015,1,4621401
Texas,Licensed drivers,2015,1,15879876
Utah,Licensed drivers,2015,1,1913564
Vermont,Licensed drivers,2015,1,548799
Virginia,Licensed drivers,2015,1,5820209
Washington,Licensed drivers,2015,1,5516134
West Virginia,Licensed drivers,2015,1,1167346.264
Wisconsin,Licensed drivers,2015,1,4194759
Wyoming,Licensed drivers,2015,1,422450
United States,Licensed drivers,2015,1,218084465.3
Alabama,Licensed drivers,2014,1,3881542
Alaska,Licensed drivers,2014,1,531744
Arizona,Licensed drivers,2014,1,4881801
Arkansas,Licensed drivers,2014,1,2111873
California,Licensed drivers,2014,1,24813346
Colorado,Licensed drivers,2014,1,3883362
Connecticut,Licensed drivers,2014,1,2542588
Delaware,Licensed drivers,2014,1,732349
District of Columbia,Licensed drivers,2014,1,419896
Florida,Licensed drivers,2014,1,13898347
Georgia,Licensed drivers,2014,1,6650434
Hawaii,Licensed drivers,2014,1,902639
Idaho,Licensed drivers,2014,1,1128497
Illinois,Licensed drivers,2014,1,8373565
Indiana,Licensed drivers,2014,1,4448099
Iowa,Licensed drivers,2014,1,2227950
Kansas,Licensed drivers,2014,1,2021271
Kentucky,Licensed drivers,2014,1,3004919
Louisiana,Licensed drivers,2014,1,3312630
Maine,Licensed drivers,2014,1,1018918
Maryland,Licensed drivers,2014,1,4142997
Massachusetts,Licensed drivers,2014,1,4765586
Michigan,Licensed drivers,2014,1,7046433
Minnesota,Licensed drivers,2014,1,3357468
Mississippi,Licensed drivers,2014,1,1977679
Missouri,Licensed drivers,2014,1,4295224
Montana,Licensed drivers,2014,1,768703
Nebraska,Licensed drivers,2014,1,1383693
Nevada,Licensed drivers,2014,1,1796443
New Hampshire,Licensed drivers,2014,1,1071963
New Jersey,Licensed drivers,2014,1,6152634
New Mexico,Licensed drivers,2014,1,1444857
New York,Licensed drivers,2014,1,11318198
North Carolina,Licensed drivers,2014,1,7025333
North Dakota,Licensed drivers,2014,1,527541
Ohio,Licensed drivers,2014,1,7915907
Oklahoma,Licensed drivers,2014,1,2451972
Oregon,Licensed drivers,2014,1,2785446
Pennsylvania,Licensed drivers,2014,1,8915641
Rhode Island,Licensed drivers,2014,1,748337
South Carolina,Licensed drivers,2014,1,3617535
South Dakota,Licensed drivers,2014,1,609908
Tennessee,Licensed drivers,2014,1,4613166
Texas,Licensed drivers,2014,1,15648733
Utah,Licensed drivers,2014,1,1425703
Vermont,Licensed drivers,2014,1,545312
Virginia,Licensed drivers,2014,1,5769063
Washington,Licensed drivers,2014,1,5401139
West Virginia,Licensed drivers,2014,1,1171906.746
Wisconsin,Licensed drivers,2014,1,4188194
Wyoming,Licensed drivers,2014,1,423987
United States,Licensed drivers,2014,1,214092471.7
Alabama,Licensed drivers,2013,1,3859403
Alaska,Licensed drivers,2013,1,528873
Arizona,Licensed drivers,2013,1,4791450
Arkansas,Licensed drivers,2013,1,2097201
California,Licensed drivers,2013,1,24390236
Colorado,Licensed drivers,2013,1,3837488
Connecticut,Licensed drivers,2013,1,2534090
Delaware,Licensed drivers,2013,1,723657
District of Columbia,Licensed drivers,2013,1,405555
Florida,Licensed drivers,2013,1,13670441
Georgia,Licensed drivers,2013,1,6607016
Hawaii,Licensed drivers,2013,1,915033
Idaho,Licensed drivers,2013,1,1111485
Illinois,Licensed drivers,2013,1,8261582
Indiana,Licensed drivers,2013,1,4500403
Iowa,Licensed drivers,2013,1,2143665
Kansas,Licensed drivers,2013,1,2017759
Kentucky,Licensed drivers,2013,1,3019283
Louisiana,Licensed drivers,2013,1,3278143
Maine,Licensed drivers,2013,1,1011385
Maryland,Licensed drivers,2013,1,4140105
Massachusetts,Licensed drivers,2013,1,4765586
Michigan,Licensed drivers,2013,1,6986587
Minnesota,Licensed drivers,2013,1,3330725
Mississippi,Licensed drivers,2013,1,1968907
Missouri,Licensed drivers,2013,1,4280438
Montana,Licensed drivers,2013,1,766716
Nebraska,Licensed drivers,2013,1,1374529
Nevada,Licensed drivers,2013,1,1756095
New Hampshire,Licensed drivers,2013,1,1061433
New Jersey,Licensed drivers,2013,1,6081386
New Mexico,Licensed drivers,2013,1,1456500
New York,Licensed drivers,2013,1,11210783
North Carolina,Licensed drivers,2013,1,6822902
North Dakota,Licensed drivers,2013,1,513838
Ohio,Licensed drivers,2013,1,8030421
Oklahoma,Licensed drivers,2013,1,2418307
Oregon,Licensed drivers,2013,1,2773373
Pennsylvania,Licensed drivers,2013,1,8896590
Rhode Island,Licensed drivers,2013,1,749232
South Carolina,Licensed drivers,2013,1,3536404
South Dakota,Licensed drivers,2013,1,603643
Tennessee,Licensed drivers,2013,1,4605100
Texas,Licensed drivers,2013,1,15447273
Utah,Licensed drivers,2013,1,1661219
Vermont,Licensed drivers,2013,1,543057
Virginia,Licensed drivers,2013,1,5602765
Washington,Licensed drivers,2013,1,5301630
West Virginia,Licensed drivers,2013,1,1177136
Wisconsin,Licensed drivers,2013,1,4171427
Wyoming,Licensed drivers,2013,1,421473
United States,Licensed drivers,2013,1,212159728
Alabama,Licensed drivers,2012,1,3827522
Alaska,Licensed drivers,2012,1,526371
Arizona,Licensed drivers,2012,1,4697579
Arkansas,Licensed drivers,2012,1,2199164
California,Licensed drivers,2012,1,24200997
Colorado,Licensed drivers,2012,1,3807673
Connecticut,Licensed drivers,2012,1,2485708
Delaware,Licensed drivers,2012,1,720290
District of Columbia,Licensed drivers,2012,1,400993
Florida,Licensed drivers,2012,1,13896581
Georgia,Licensed drivers,2012,1,6581534
Hawaii,Licensed drivers,2012,1,915033
Idaho,Licensed drivers,2012,1,1092977
Illinois,Licensed drivers,2012,1,8235745
Indiana,Licensed drivers,2012,1,5375973
Iowa,Licensed drivers,2012,1,2217304
Kansas,Licensed drivers,2012,1,2018029
Kentucky,Licensed drivers,2012,1,2985234
Louisiana,Licensed drivers,2012,1,2923744
Maine,Licensed drivers,2012,1,1008190
Maryland,Licensed drivers,2012,1,4102154
Massachusetts,Licensed drivers,2012,1,4733936
Michigan,Licensed drivers,2012,1,7018713
Minnesota,Licensed drivers,2012,1,3321760
Mississippi,Licensed drivers,2012,1,1957980
Missouri,Licensed drivers,2012,1,4288488
Montana,Licensed drivers,2012,1,757812
Nebraska,Licensed drivers,2012,1,1363596
Nevada,Licensed drivers,2012,1,1728060
New Hampshire,Licensed drivers,2012,1,1064604
New Jersey,Licensed drivers,2012,1,6039623
New Mexico,Licensed drivers,2012,1,1430475
New York,Licensed drivers,2012,1,11248617
North Carolina,Licensed drivers,2012,1,6677693
North Dakota,Licensed drivers,2012,1,502807
Ohio,Licensed drivers,2012,1,8006183
Oklahoma,Licensed drivers,2012,1,2400358
Oregon,Licensed drivers,2012,1,2769757
Pennsylvania,Licensed drivers,2012,1,8842587
Rhode Island,Licensed drivers,2012,1,749706
South Carolina,Licensed drivers,2012,1,3455931
South Dakota,Licensed drivers,2012,1,606779
Tennessee,Licensed drivers,2012,1,4573871
Texas,Licensed drivers,2012,1,15252192
Utah,Licensed drivers,2012,1,1788822
Vermont,Licensed drivers,2012,1,529501
Virginia,Licensed drivers,2012,1,5538480
Washington,Licensed drivers,2012,1,5227889
West Virginia,Licensed drivers,2012,1,1241586
Wisconsin,Licensed drivers,2012,1,4056649
Wyoming,Licensed drivers,2012,1,421580
United States,Licensed drivers,2012,1,211814830
Alabama,Licensed drivers,2011,1,3798552
Alaska,Licensed drivers,2011,1,521280
Arizona,Licensed drivers,2011,1,4592398
Arkansas,Licensed drivers,2011,1,1956091
California,Licensed drivers,2011,1,23856600
Colorado,Licensed drivers,2011,1,3669816
Connecticut,Licensed drivers,2011,1,2986267
Delaware,Licensed drivers,2011,1,716109
District of Columbia,Licensed drivers,2011,1,395442
Florida,Licensed drivers,2011,1,13882423
Georgia,Licensed drivers,2011,1,6505690
Hawaii,Licensed drivers,2011,1,911660
Idaho,Licensed drivers,2011,1,1083992
Illinois,Licensed drivers,2011,1,8373969
Indiana,Licensed drivers,2011,1,6569665
Iowa,Licensed drivers,2011,1,2191715
Kansas,Licensed drivers,2011,1,2025581
Kentucky,Licensed drivers,2011,1,2959881
Louisiana,Licensed drivers,2011,1,3186227
Maine,Licensed drivers,2011,1,1014826
Maryland,Licensed drivers,2011,1,3856604
Massachusetts,Licensed drivers,2011,1,4683322.97
Michigan,Licensed drivers,2011,1,7059509
Minnesota,Licensed drivers,2011,1,3306139
Mississippi,Licensed drivers,2011,1,1926603
Missouri,Licensed drivers,2011,1,4277037
Montana,Licensed drivers,2011,1,752483
Nebraska,Licensed drivers,2011,1,1356377
Nevada,Licensed drivers,2011,1,1700829
New Hampshire,Licensed drivers,2011,1,1056889
New Jersey,Licensed drivers,2011,1,5977458
New Mexico,Licensed drivers,2011,1,1418641
New York,Licensed drivers,2011,1,11210783
North Carolina,Licensed drivers,2011,1,6569341
North Dakota,Licensed drivers,2011,1,490146
Ohio,Licensed drivers,2011,1,7982149
Oklahoma,Licensed drivers,2011,1,2370643
Oregon,Licensed drivers,2011,1,2773956
Pennsylvania,Licensed drivers,2011,1,8796774
Rhode Island,Licensed drivers,2011,1,749706
South Carolina,Licensed drivers,2011,1,3408318
South Dakota,Licensed drivers,2011,1,603258
Tennessee,Licensed drivers,2011,1,4543759
Texas,Licensed drivers,2011,1,15122518
Utah,Licensed drivers,2011,1,1747487
Vermont,Licensed drivers,2011,1,521666
Virginia,Licensed drivers,2011,1,5467045
Washington,Licensed drivers,2011,1,5178789
West Virginia,Licensed drivers,2011,1,1198837.194
Wisconsin,Licensed drivers,2011,1,4147470
Wyoming,Licensed drivers,2011,1,421928
United States,Licensed drivers,2011,1,211874649.2
Alabama,Licensed drivers,2010,1,3805751
Alaska,Licensed drivers,2010,1,515239
Arizona,Licensed drivers,2010,1,4443647
Arkansas,Licensed drivers,2010,1,2077806
California,Licensed drivers,2010,1,23753441
Colorado,Licensed drivers,2010,1,3779273
Connecticut,Licensed drivers,2010,1,2934576
Delaware,Licensed drivers,2010,1,695036
District of Columbia,Licensed drivers,2010,1,384940
Florida,Licensed drivers,2010,1,13949726
Georgia,Licensed drivers,2010,1,6507888
Hawaii,Licensed drivers,2010,1,909407
Idaho,Licensed drivers,2010,1,1069542
Illinois,Licensed drivers,2010,1,8373969
Indiana,Licensed drivers,2010,1,5550469
Iowa,Licensed drivers,2010,1,2166759
Kansas,Licensed drivers,2010,1,2033092
Kentucky,Licensed drivers,2010,1,2950191
Louisiana,Licensed drivers,2010,1,3133631
Maine,Licensed drivers,2010,1,1019738
Maryland,Licensed drivers,2010,1,3918305
Massachusetts,Licensed drivers,2010,1,4592500
Michigan,Licensed drivers,2010,1,7083107
Minnesota,Licensed drivers,2010,1,3281463
Mississippi,Licensed drivers,2010,1,1928487
Missouri,Licensed drivers,2010,1,4246249
Montana,Licensed drivers,2010,1,743611
Nebraska,Licensed drivers,2010,1,1351516
Nevada,Licensed drivers,2010,1,1691318
New Hampshire,Licensed drivers,2010,1,1037083
New Jersey,Licensed drivers,2010,1,5952583
New Mexico,Licensed drivers,2010,1,1405926
New York,Licensed drivers,2010,1,11285830
North Carolina,Licensed drivers,2010,1,6536601
North Dakota,Licensed drivers,2010,1,483097
Ohio,Licensed drivers,2010,1,7963372
Oklahoma,Licensed drivers,2010,1,2348718
Oregon,Licensed drivers,2010,1,2769734
Pennsylvania,Licensed drivers,2010,1,8737162
Rhode Island,Licensed drivers,2010,1,747875
South Carolina,Licensed drivers,2010,1,3337247
South Dakota,Licensed drivers,2010,1,602275
Tennessee,Licensed drivers,2010,1,4418210
Texas,Licensed drivers,2010,1,15157650
Utah,Licensed drivers,2010,1,1659835.25
Vermont,Licensed drivers,2010,1,513481
Virginia,Licensed drivers,2010,1,5402347
Washington,Licensed drivers,2010,1,5106367
West Virginia,Licensed drivers,2010,1,1206026
Wisconsin,Licensed drivers,2010,1,4133377
Wyoming,Licensed drivers,2010,1,419466
United States,Licensed drivers,2010,1,210114939.3
Alabama,Highway Fatalities,2010,1,862
Alaska,Highway Fatalities,2010,1,56
Arizona,Highway Fatalities,2010,1,759
Arkansas,Highway Fatalities,2010,1,571
California,Highway Fatalities,2010,1,2720
Colorado,Highway Fatalities,2010,1,450
Connecticut,Highway Fatalities,2010,1,320
Delaware,Highway Fatalities,2010,1,101
District of Columbia,Highway Fatalities,2010,1,24
Florida,Highway Fatalities,2010,1,2444
Georgia,Highway Fatalities,2010,1,1247
Hawaii,Highway Fatalities,2010,1,113
Idaho,Highway Fatalities,2010,1,209
Illinois,Highway Fatalities,2010,1,927
Indiana,Highway Fatalities,2010,1,754
Iowa,Highway Fatalities,2010,1,390
Kansas,Highway Fatalities,2010,1,431
Kentucky,Highway Fatalities,2010,1,760
Louisiana,Highway Fatalities,2010,1,721
Maine,Highway Fatalities,2010,1,161
Maryland,Highway Fatalities,2010,1,496
Massachusetts,Highway Fatalities,2010,1,347
Michigan,Highway Fatalities,2010,1,942
Minnesota,Highway Fatalities,2010,1,411
Mississippi,Highway Fatalities,2010,1,641
Missouri,Highway Fatalities,2010,1,821
Montana,Highway Fatalities,2010,1,189
Nebraska,Highway Fatalities,2010,1,190
Nevada,Highway Fatalities,2010,1,257
New Hampshire,Highway Fatalities,2010,1,128
New Jersey,Highway Fatalities,2010,1,556
New Mexico,Highway Fatalities,2010,1,349
New York,Highway Fatalities,2010,1,1201
North Carolina,Highway Fatalities,2010,1,1320
North Dakota,Highway Fatalities,2010,1,105
Ohio,Highway Fatalities,2010,1,1080
Oklahoma,Highway Fatalities,2010,1,668
Oregon,Highway Fatalities,2010,1,317
Pennsylvania,Highway Fatalities,2010,1,1324
Rhode Island,Highway Fatalities,2010,1,67
South Carolina,Highway Fatalities,2010,1,809
South Dakota,Highway Fatalities,2010,1,140
Tennessee,Highway Fatalities,2010,1,1032
Texas,Highway Fatalities,2010,1,3023
Utah,Highway Fatalities,2010,1,253
Vermont,Highway Fatalities,2010,1,71
Virginia,Highway Fatalities,2010,1,740
Washington,Highway Fatalities,2010,1,460
West Virginia,Highway Fatalities,2010,1,315
Wisconsin,Highway Fatalities,2010,1,572
Wyoming,Highway Fatalities,2010,1,155
United States,Highway Fatalities,2010,1,32999
Alabama,Highway Fatalities,2011,1,895
Alaska,Highway Fatalities,2011,1,72
Arizona,Highway Fatalities,2011,1,826
Arkansas,Highway Fatalities,2011,1,551
California,Highway Fatalities,2011,1,2816
Colorado,Highway Fatalities,2011,1,447
Connecticut,Highway Fatalities,2011,1,221
